honor,matematicas
No,41
No,53
No,54
No,47
No,57
No,51
No,42
No,45
No,54
No,52
No,51
Si,51
No,71
Si,57
No,50
No,43
No,51
No,60
Si,62
No,57
No,35
Si,75
No,45
No,57
No,45
No,46
Si,66
No,57
No,49
No,49
No,57
No,64
Si,63
No,57
No,50
Si,58
No,75
Si,68
No,44
No,40
No,41
No,62
No,57
No,43
Si,48
No,63
No,39
No,70
No,63
No,59
Si,61
No,38
No,61
No,49
Si,73
No,44
No,42
No,39
No,55
No,52
No,45
Si,61
No,39
No,41
No,50
No,40
No,60
No,47
No,59
No,49
No,46
No,58
Si,71
No,58
No,46
No,43
Si,54
No,56
No,46
No,54
No,57
No,54
No,71
Si,48
No,40
Si,64
No,51
No,39
No,40
No,61
Si,66
No,49
Si,65
No,52
No,46
Si,61
Si,72
Si,71
No,40
Si,69
No,64
No,56
No,49
No,54
No,53
No,66
Si,67
No,40
No,46
Si,69
No,40
No,41
No,57
Si,58
Si,57
No,37
No,55
Si,62
No,64
No,40
No,50
No,46
No,53
No,52
Si,45
No,56
No,45
No,54
No,56
No,41
No,54
Si,72
Si,56
No,47
No,49
Si,60
No,54
No,55
No,33
No,49
No,43
No,50
No,52
No,48
No,58
No,43
Si,41
No,43
No,46
No,44
No,43
No,61
No,40
No,49
Si,56
No,61
No,50
No,51
No,42
Si,67
Si,53
No,50
Si,51
Si,72
No,48
No,40
No,53
No,39
Si,63
No,51
No,45
No,39
No,42
No,62
No,44
No,65
Si,63
No,54
No,45
Si,60
Si,49
No,48
Si,57
Si,55
Si,66
Si,64
No,55
No,42
Si,56
No,53
No,41
No,42
No,53
No,42
Si,60
No,52
No,38
No,57
Si,58
Si,65
